bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_validity,discount,image_url,more_details_url
7,1,Waters Edge Restaurants,Waters Edge Restaurants,"Offer: 20% Savings on dine-in at Water’s Edge Restaurants with DFCC Credit Cards.
*The offer is valid only on Buffet and not valid for any beverages.
Participating Restaurants:
1.Pranzo
2.Thuna Paha
3.The Bavarian Garden
4.Boardwalk
5.Bakery at the Edge (Full Cakes)
6.Bakery at the Lake (Full Cakes)
Offer Period: 01st January to 28th February 2025
Maximum Bill Value: Rs. 35,000/- per cardholder.
Reservations Number: 0112 863 863
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Pinnacle & Corporate Credit Cards)",Valid from 1 January 2025 - 28 February 2025.,20% Savings on dine-in at Water's Edge Restaurants with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/07/05074209/400-X-225_Waters-Edge.jpg,https://www.dfcc.lk/promotions/waters-edge-restaurants/
7,1,The Blue Orbit By Citrus,The Blue Orbit By Citrus,"Offer: 20% Savings on Lunch and Dinner Buffet at Blue Orbit by Citrus with DFCC Credit Cards.
*Valid for a maximum of 6 pax per card
Offer Period: 01st to 31st January 2025
Reservations Numbers: 076 5 444 111 / 076 5 443 333
Location: Colombo Lotus Tower, 27th Floor, Colombo
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Corporate Credit Cardholders)",Valid from 1 January 2024 - 31 January 2025.,20% Savings on Lunch and Dinner Buffet at Blue Orbit by Citrus with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/02/07050113/Blue-Orbit-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/blue-orbit-by-citrus/
7,1,Domino’s Pizza,Domino’s Pizza,"Offer: Buy a Large Pizza & Get a same or lesser range Large Pizza Free at Domino’s Pizza with DFCC Credit Cards.
*Offer is valid only on dine-in & takeaway.
*Offer is valid only on Favourite, Cheese Float, Signature, Fully Loaded, and Cheese Burst ranges.
Offer period: 29th January 2025
Maximum number of free pizzas per card, per transaction: 02 (Two) Pizzas
Maximum number of transactions per card, per day: 01 (One) transaction
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Corporate Credit Cardholders)",29th January 2025,Buy a Large Pizza & Get a same or lesser range Large Pizza Free at Domino’s Pizza with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2019/04/16110747/400-x-225-Dominos.jpg,https://www.dfcc.lk/promotions/dominos-pizza-2/
7,2,Era Beach – Thalpe,Era Beach – Thalpe,"Offer: 20% Savings at Era Beach Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards
Booking & Stay Period: 09th January to 30th April 2025
Reservation Numbers: 0779594545/ 0112581132
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)",Valid from 9 January 2025 - 30 April 2025.,20% Savings at Era Beach Thalpe with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2025/01/09110842/400x225-Era-Beach.jpg,https://www.dfcc.lk/promotions/era-beach-thalpe-3/
7,2,Apa Villa – Thalpe,Apa Villa – Thalpe,"Offer: 20% Savings at Apa Villa Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards
Booking & Stay Period: 09th January to 30th April 2025
Reservation Numbers: 0779594545/ 0112581132
Eligible Card Categories: All DFCC Credit Cards (Excluding Corporate Credit Cards)",Valid from 9 January 2025 - 30 April 2025.,20% Savings at Apa Villa Thalpe with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2025/01/09105725/400x225-Apa-villa.jpg,https://www.dfcc.lk/promotions/apa-villa-thalpe-2/
7,2,Boutique Collection by Amaya,Boutique Collection by Amaya,"Offer: Up to 35% Savings at Boutique Collection by Amaya on double and triple room bookings on bed & breakfast, half board & full Board Basis stays with DFCC Credit Cards.
Participating Properties:
Langdale Boutique Hotel, Nuwara Eliya  – 30% Savings
The Villas, Wadduwa – 35% Savings
Tri, Koggala – 30% Savings
Langdale Boutique Hotel, Nuwara Eliya  – 30% Savings
The Villas, Wadduwa – 35% Savings
Tri, Koggala – 30% Savings
Booking Period: 09th to 31st January 2025
Stay Period: 09th January to 31st March 2025
Reservations Number: 0772 953 527",Valid from 9 January 2025 - 31 January 2025.,Up to 35% Savings at Boutique Collection by Amaya with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/11/10032856/400x225-10.jpg,https://www.dfcc.lk/promotions/boutique-collection-by-amaya/
7,2,Tropical Life Resort & Spa Dambulla,Tropical Life Resort & Spa Dambulla,"Offer: 35% Savings at Tropical Life Resort & Spa Dambulla on double and triple room bookings on half board & full board basis stays with DFCC Credit Cards
Booking & Stay Period: 01st January to 31st March 2025
Reservations Number: 0662 030 300
Eligible Card Categories: All DFCC Credit Cards (Excluding DFCC Corporate Credit Cards)",Valid from 1 January 2025 - 31 March 2025.,35% Savings at Tropical Life Resort & Spa Dambulla with DFCC Credit Cards,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2024/10/14111855/Tropical-Life-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/tropical-life-resort-spa-dambulla/
7,2,Amaara Forest Hotel – Sigiriya,Amaara Forest Hotel – Sigiriya,"Offer: 30% Savings at Amaara Forest Hotel, Sigiriya on double and triple room bookings on half board & full board basis stays with DFCC Credit Cards
Booking & Stay Period: 01st January to 31st March 2025
Reservations Website: www.amaarahotels.com by using Promo code: DFCCC.
Reservations Number: 0770 038 312
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Corporate Credit Cardholders)",Valid from 1 January 2025 - 31 March 2025.,"30% Savings at Amaara Forest Hotel, Sigiriya with DFCC Credit Cards",https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2020/02/20112323/400-x-225-amaara-forest.jpg,https://www.dfcc.lk/promotions/amaara-forest-hotel/
7,2,Amagi Beach – Marawila,Amagi Beach – Marawila,"Offer: 15% Savings at Amagi Beach – Marawila on double & triple room bookings on half board and full board basis stays with DFCC Credit Cards.
Booking & Stay Period: 01st November 2024 to 31st January 2025
Reservation Numbers: 0703 302 126
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Corporate Credit Cardholders)",Valid from 1 November 2024 - 31 January 2025.,15% Savings on half board and full board basis stays with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/01/16040108/Amagi-Beach-Web-Banners_400-X-225.jpg,https://www.dfcc.lk/promotions/amagi-beach-marawila/
7,2,Amagi Aria – Negombo,Amagi Aria – Negombo,"Offer: 15% Savings at Amagi Aria – Negombo on double & triple room bookings on half board and full board basis stays with DFCC Credit Cards.
Booking & Stay Period: 01st November 2024 to 31st January 2025
Reservation Numbers: 0703 569 178 / 0716 007 711 / 0707 007 711
Eligible Card Categories: All DFCC Credit Cardholders (Excluding DFCC Corporate Credit Cardholders)",Valid from 1 November 2024 - 31 January 2025.,15% Savings on half board and full board basis stays with DFCC Credit Cards.,https://s3.ap-southeast-1.amazonaws.com/dfcc.lk/wp-content/uploads/2021/01/16043006/Amagi-Aria-Web-Banners_400-X-225-1.jpg,https://www.dfcc.lk/promotions/amagi-aria-negombo/
