bank_id,category_id,merchant_details,discount,offer_validity,offer_details_1,image_url,more_details_url
11,1,Pizza Hut,,26th March 2025,Buy any Large Pizza and get a Large Pizza (Same or lesser range) Free/Valid For Online & In-Store,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057689342_0.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Indian Affair,20%,1st March to 31st December 2025(Every Monday & Sunday),"Maximum Discount -Rs.2,000/- Dine-In & For Food Only",https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057690403_1.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Full'r,20%,1st March to 31st December 2025 (Every Friday & Tuesday),"Maximum Discount -Rs.2,000/- Dine-In & For Food Only",https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057690992_2.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Wrap Co,20%,1st March to 31st December 2025 (Every Wednesday),"Maximum Discount -Rs.2,000/- Dine-In & For Food Only",https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057691549_3.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Virticle by Jetwing,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057692083_4.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Blue The Kitchen,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057692698_5.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Lighthouse - Cardamom Cafe,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057693204_6.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Beach - The Sands,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057693683_7.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Colombo Seven - Ward 7,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057694148_8.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Sea - Café C,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057694671_9.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Jetwing Jaffna - Peninsula,20%,20th March to 20th April 2025,For Food Only,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057695074_10.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Diyatha Station - By Waters Edge,20%,1st April to 31st May 2025,For Food Only Excluding Special Promotional Days & Events.,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057695744_11.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
11,1,Boardwalk - By Waters Edge,20%,1st April to 31st May 2025,For Food Only Excluding Special Promotional Days & Events.,https://kbcaevsuxnajykrzhjco.supabase.co/storage/v1/object/public/card_promo_images/PeoplesBank/1742057696297_12.jpg,https://www.peoplesbank.lk/restaurants-credit-card/
