bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_details_2,offer_validity,discount,image_url,more_details_url
2,1,20% Discount at Ginza Hohsen Japanese Restaurant - Colombo 01,Ginza Hohsen Japanese Restaurant - Colombo 01,"Offer: 20% Discount on Food at Ginza Hohsen Japanese Restaurant for all Sampath Visa and Master Platinum, Visa Signature, Visa Infinite, Mastercard World Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0112 441 588,15th March 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_5aa072038e_0d49ffa7b3_23338d1c11,https://www.sampath.lk/sampath-cards/credit-card-offer/1487
2,1,Up to 15% Discount at NH Collection Colombo - Colombo 03,NH Collection Colombo - Colombo 03,"Seabreeze High Tea Offer 1: 15% Discount on High tea buffet at NH Collection - Colombo 3 for all Sampath Visa, Mastercard Credit Cardholders and Sampath Bank American Express Platinum Ultramiles Credit Cardmembers. Offer 2: 10% Discount on High tea buffet at NH Collection - Colombo 3 for all Sampath Visa, Mastercard Debit Cardholders. Rooftop Bar & Lounge Offer 1: 15% Discount on Dine in at Rooftop Bar & Lounge - NH Collection Colombo - 3 for all Sampath Visa, Mastercard Credit Cardholders and Sampath Bank American Express Platinum Ultramiles Credit Cardmembers. Offer 2: 10% Discount on Dine in at Rooftop Bar & Lounge - NH Collection Colombo - 3 for all Sampath Visa, Mastercard Debit Cardholders.",0764014738,28th February 2025,Up to 15% Discount,https://www.sampath.lk/api/uploads/blob_f082cfaeb6_9421d23bef_219524cf2d,https://www.sampath.lk/sampath-cards/credit-card-offer/1476
2,1,15% Discount at House of Sandwich - Colombo 04,House of Sandwich - Colombo 04,"Offer: 15% Discount on Dine in & Take Away at House of Sandwich - Bambalapitiya for all Sampath Mastercard, Visa Credit and Debit Cardholders & Sampath Bank American Express Ultramiles Credit Cardmembers.",072 287 9879,28th February 2025,15% Discount,https://www.sampath.lk/api/uploads/blob_68e71bc799_8a8c9b03d5_a60655a371,https://www.sampath.lk/sampath-cards/credit-card-offer/1475
2,1,15% Monthly ‘Cash Back’ at 15% Monthly ‘Cash Back’,15% Monthly ‘Cash Back’,"15% monthly ‘Cash Back’ on Supermarket, Transportation/Delivery Apps (Uber, UberEats, PickMe), Telecommunications & Utility Bill Payments offer for all Sampath Bank American Express® Everyday Credit Cardmembers.
Partners
Supermarkets
Arpico Super Centre, Cargills FoodCity, Keells, Glomark, Laugfs Super, Lanka Sathosa and Spar.
Transportation / Delivery Apps
PickMe, Uber, UberEats
Telecommunication
Airtel, Dialog, Hutch, Lankabell, Mobitel, Sri Lanka Telecom
*Applicable only at merchant locations, merchant websites where American Express® Credit Cards are accepted.
Utility Bill Payment Partners*
Ceylon Electricity Board, Lanka Electricity Company, National Water supply and Drainage Board. *Applicable only at merchant locations where American Express® Credit Cards are accepted.",,25th December 2025,15% Monthly ‘Cash Back’,https://www.sampath.lk/api/uploads/Amex_c5169dd148_b83b9d85c0_0b17071acb.jpg,https://www.sampath.lk/sampath-cards/credit-card-offer/289
2,3,20% Discount at SPAR Supermarket - All Outlets,SPAR Supermarket - All Outlets,"Valid only on 28th February 2025
20% Discount on TOTAL BILL at all SPAR Supermarket outlets exclusively for Sampath Visa Infinite, Visa Signature & Mastercard World Credit Cardholders.",,28th February 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_3bdb9d01ee_9903350f31_cfe6f0ad37,https://www.sampath.lk/sampath-cards/credit-card-offer/1488
2,3,"30% Discount at Arpico Super Centres, Super Stores and Arpico Daily Supermarkets","Arpico Super Centres, Super Stores and Arpico Daily Supermarkets","Every Friday till 28th February 2025
30% Discount on fresh Vegetables, Fruits, Seafood & Meat at Arpico Super Centres, Super Stores and Arpico Daily Supermarkets for all Sampath Mastercard & Visa Credit Cardholders.",,28th February 2025,30% Discount,https://www.sampath.lk/api/uploads/blob_fa9431329a_99136f9c9b_1e5001047e,https://www.sampath.lk/sampath-cards/credit-card-offer/1478
2,3,Up to 35% Discount at Softlogic GLOMARK - All Softlogic GLOMARK Outlets,Softlogic GLOMARK - All Softlogic GLOMARK Outlets,"Offer 01: 35% Discount on fresh Vegetables, Fruits, Seafood & Meat Every Monday at Softlogic GLOMARK and www.glomark.lk for all Sampath Mastercard and Visa Credit Cardholders.

Offer 02: 25% Discount on fresh Vegetables, Fruits, Seafood & Meat Every Monday at Softlogic GLOMARK and www.glomark.lk for all Sampath Debit Cardholders.",,24th February 2025,Up to 35% Discount,https://www.sampath.lk/api/uploads/blob_3153195a77_1d5f65b6aa_93c94a286a,http://www.glomark.lk/
2,3,25% Discount at Keells Supermarket,Keells Supermarket,"25% Discount on Fresh Vegetables, Fruits & Seafood at all Keells & Super K Outlets Every sunday for Sampath Mastercard & Visa Credit Cardholders.",,23rd February 2025,25% Discount,https://www.sampath.lk/api/uploads/blob_551a717b74_13db5391fe_7e68578cfd,https://www.sampath.lk/sampath-cards/credit-card-offer/1468
2,3,Up to 25% Discount at Cargills Food City - All Cargills Outlets,Cargills Food City - All Cargills Outlets,"Offer 01: 25% Discount on fresh Vegetables, Fruits, Seafood Every Saturday for all Sampath Mastercard and Visa Credit Cardholders.

Offer 02: 10% Discount on fresh Vegetables, Fruits, Seafood Every Saturday for all Sampath Debit Cardholders.",,22nd February 2025,Up to 25% Discount,https://www.sampath.lk/api/uploads/blob_95fb7c22a7_d3977ea3e9_900bd7b4bf,https://www.sampath.lk/sampath-cards/credit-card-offer/1467
2,3,10% Discount at LAUGFS Supermarkets,LAUGFS Supermarkets,10% Discount on TOTAL BILL at all LAUGFS Supermarket outlets on every Wednesday for all Sampath Mastercard & Visa Credit Cardholders.,,26th March 2025,10% Discount,https://www.sampath.lk/api/uploads/blob_5447934a82_dd714ca21b_ba1bb3413d,https://www.sampath.lk/sampath-cards/credit-card-offer/1399
